Timestamp,Library,Query,PID,Process_Memory_MB,Children_Memory_MB,Total_Memory_MB
2025-12-19 01:24:11.822473,polars,21,344661,832.89,0.00,832.89
2025-12-19 01:24:12.334513,polars,21,344661,965.86,0.00,965.86
2025-12-19 01:24:12.857626,polars,21,344661,916.67,0.00,916.67
2025-12-19 01:24:13.357790,polars,21,344661,Monitoring Ended,-,-
2025-12-19 01:24:13.531984,polars,22,344987,0.02,0.00,0.02
2025-12-19 01:24:14.051582,polars,22,344987,93.43,0.00,93.43
2025-12-19 01:24:14.551747,polars,22,344987,Monitoring Ended,-,-
2025-12-19 01:24:48.729459,polars,1,346189,4.68,0.00,4.68
2025-12-19 01:24:49.236093,polars,1,346189,329.04,0.00,329.04
2025-12-19 01:24:49.749608,polars,1,346189,174.77,0.00,174.77
2025-12-19 01:24:50.249761,polars,1,346189,Monitoring Ended,-,-
2025-12-19 01:24:50.268884,polars,2,346314,1.67,0.00,1.67
2025-12-19 01:24:50.769022,polars,2,346314,Monitoring Ended,-,-
2025-12-19 01:24:50.990939,polars,3,346369,4.15,0.00,4.15
2025-12-19 01:24:51.497415,polars,3,346369,233.95,0.00,233.95
2025-12-19 01:24:51.997558,polars,3,346369,Monitoring Ended,-,-
2025-12-19 01:24:52.016840,polars,4,346382,3.32,0.00,3.32
2025-12-19 01:24:52.534521,polars,4,346382,114.04,0.00,114.04
2025-12-19 01:24:53.034664,polars,4,346382,Monitoring Ended,-,-
2025-12-19 01:24:53.053941,polars,5,346386,2.43,0.00,2.43
2025-12-19 01:24:53.560336,polars,5,346386,310.25,0.00,310.25
2025-12-19 01:24:54.060460,polars,5,346386,Monitoring Ended,-,-
2025-12-19 01:24:54.079519,polars,6,346410,3.19,0.00,3.19
2025-12-19 01:24:54.579626,polars,6,346410,Monitoring Ended,-,-
2025-12-19 01:24:54.795447,polars,7,346417,1.77,0.00,1.77
2025-12-19 01:24:55.308931,polars,7,346417,181.40,0.00,181.40
2025-12-19 01:24:55.816731,polars,7,346417,138.54,0.00,138.54
2025-12-19 01:24:56.316882,polars,7,346417,Monitoring Ended,-,-
2025-12-19 01:24:56.329928,polars,8,346542,3.19,0.00,3.19
2025-12-19 01:24:56.843213,polars,8,346542,264.52,0.00,264.52
2025-12-19 01:24:57.343370,polars,8,346542,Monitoring Ended,-,-
2025-12-19 01:24:57.657570,polars,9,346598,4.30,0.00,4.30
2025-12-19 01:24:58.163026,polars,9,346598,341.75,0.00,341.75
2025-12-19 01:24:58.670472,polars,9,346598,167.05,0.00,167.05
2025-12-19 01:24:59.170603,polars,9,346598,Monitoring Ended,-,-
2025-12-19 01:24:59.189694,polars,10,346614,3.31,0.00,3.31
2025-12-19 01:24:59.696220,polars,10,346614,193.09,0.00,193.09
2025-12-19 01:25:00.196355,polars,10,346614,Monitoring Ended,-,-
2025-12-19 01:25:00.214459,polars,11,346636,4.09,0.00,4.09
2025-12-19 01:25:00.714573,polars,11,346636,Monitoring Ended,-,-
2025-12-19 01:25:00.938484,polars,12,346790,3.93,0.00,3.93
2025-12-19 01:25:01.445129,polars,12,346790,171.35,0.00,171.35
2025-12-19 01:25:01.945247,polars,12,346790,Monitoring Ended,-,-
2025-12-19 01:25:01.957448,polars,13,346806,4.80,0.00,4.80
2025-12-19 01:25:02.464047,polars,13,346806,243.23,0.00,243.23
2025-12-19 01:25:02.964173,polars,13,346806,Monitoring Ended,-,-
2025-12-19 01:25:02.982447,polars,14,346811,3.88,0.00,3.88
2025-12-19 01:25:03.489230,polars,14,346811,175.68,0.00,175.68
2025-12-19 01:25:03.989367,polars,14,346811,Monitoring Ended,-,-
2025-12-19 01:25:04.007474,polars,15,346836,3.81,0.00,3.81
2025-12-19 01:25:04.518694,polars,15,346836,161.91,0.00,161.91
2025-12-19 01:25:05.018865,polars,15,346836,Monitoring Ended,-,-
2025-12-19 01:25:05.331497,polars,16,346856,4.15,0.00,4.15
2025-12-19 01:25:05.831623,polars,16,346856,Monitoring Ended,-,-
2025-12-19 01:25:06.036526,polars,17,346971,0.02,0.00,0.02
2025-12-19 01:25:06.544073,polars,17,346971,213.17,0.00,213.17
2025-12-19 01:25:07.052732,polars,17,346971,186.95,0.00,186.95
2025-12-19 01:25:07.552888,polars,17,346971,Monitoring Ended,-,-
2025-12-19 01:25:07.571753,polars,18,347031,4.29,0.00,4.29
2025-12-19 01:25:08.077916,polars,18,347031,293.48,0.00,293.48
2025-12-19 01:25:08.591059,polars,18,347031,149.02,0.00,149.02
2025-12-19 01:25:09.091349,polars,18,347031,Monitoring Ended,-,-
2025-12-19 01:25:09.109525,polars,19,347047,3.32,0.00,3.32
2025-12-19 01:25:09.620674,polars,19,347047,288.97,0.00,288.97
2025-12-19 01:25:10.133404,polars,19,347047,529.16,0.00,529.16
2025-12-19 01:25:10.641671,polars,19,347047,995.20,0.00,995.20
2025-12-19 01:25:11.151994,polars,19,347047,1114.36,0.00,1114.36
2025-12-19 01:25:11.652828,polars,19,347047,Monitoring Ended,-,-
2025-12-19 01:25:11.671612,polars,20,347220,2.68,0.00,2.68
2025-12-19 01:25:12.179334,polars,20,347220,209.05,0.00,209.05
2025-12-19 01:25:12.679448,polars,20,347220,Monitoring Ended,-,-
2025-12-19 01:25:12.698483,polars,21,347225,3.75,0.00,3.75
2025-12-19 01:25:13.205960,polars,21,347225,199.52,0.00,199.52
2025-12-19 01:25:13.713258,polars,21,347225,434.97,0.00,434.97
2025-12-19 01:25:14.226472,polars,21,347225,513.77,0.00,513.77
2025-12-19 01:25:14.745690,polars,21,347225,514.86,0.00,514.86
2025-12-19 01:25:15.258659,polars,21,347225,515.64,0.00,515.64
2025-12-19 01:25:15.770497,polars,21,347225,516.82,0.00,516.82
2025-12-19 01:25:16.282496,polars,21,347225,518.95,0.00,518.95
2025-12-19 01:25:16.800296,polars,21,347225,473.24,0.00,473.24
2025-12-19 01:25:17.312868,polars,21,347225,372.25,0.00,372.25
2025-12-19 01:25:17.824685,polars,21,347225,384.07,0.00,384.07
2025-12-19 01:25:18.335480,polars,21,347225,527.44,0.00,527.44
2025-12-19 01:25:18.846481,polars,21,347225,670.61,0.00,670.61
2025-12-19 01:25:19.357489,polars,21,347225,809.39,0.00,809.39
2025-12-19 01:25:19.869479,polars,21,347225,952.84,0.00,952.84
2025-12-19 01:25:20.388515,polars,21,347225,850.34,0.00,850.34
2025-12-19 01:25:20.888683,polars,21,347225,Monitoring Ended,-,-
2025-12-19 01:25:20.906481,polars,22,347477,3.37,0.00,3.37
2025-12-19 01:25:21.406614,polars,22,347477,Monitoring Ended,-,-
